year,chlorophyll_a_surface_ug_l,total_n_surface_ug_l,total_p_surface_ug_l,total_n_mid_ug_l,total_p_mid_ug_l,total_n_bottom_ug_l,total_p_bottom_ug_l,temp_1m_c,temp_bottom_c
2010,7.514285714,444.2857143,18.85714286,465.7142857,20.71428571,627.1428571,32.85714286,16.55714286,13.71428571
2011,7.242857143,460.0,21.0,480.0,22.42857143,684.2857143,42.0,16.81428571,14.58571429
2012,12.46,510.0,22.83333333,525.0,23.83333333,553.3333333,29.66666667,14.3,14.76
2013,7.657142857,460.0,21.85714286,461.4285714,22.85714286,720.0,35.0,16.17142857,11.82857143
2014,5.8,412.8571429,16.85714286,455.7142857,19.85714286,605.7142857,44.28571429,15.88571429,12.47142857
2015,8.16,482.0,24.2,488.0,25.8,604.0,47.4,14.24,12.24
2016,8.4125,432.5,16.5,395.0,18.75,470.0,25.5,15.9,15.2875
2017,7.39375,385.0,20.5,378.75,18.75,405.0,25.375,13.875,13.3125
2018,10.68666667,424.6666667,20.0,453.3333333,25.86666667,566.6666667,35.06666667,15.0875,13.14666667
2019,8.8625,455.625,22.0625,460.0,22.6875,561.3333333,32.25,15.04375,14.15
2020,12.22666667,516.0,21.93333333,534.375,25.25,631.4285714,36.92857143,14.81875,12.31875
2021,8.235714286,470.0,18.52307692,505.7142857,19.78571429,617.6923077,31.15384615,15.96666667,13.33333333
2022,7.383333333,422.5,16.91666667,451.6666667,20.75,618.1818182,38.09090909,16.03846154,14.31538462
2023,7.330769231,378.3333333,13.33333333,402.3076923,16.12307692,610.8333333,38.15,16.74615385,13.66153846
2024,7.757142857,398.3333333,13.16666667,390.0,13.57142857,513.3333333,22.66666667,16.68571429,15.25714286
2025,5.842857143,435.0,17.5,432.8571429,21.0,485.0,32.0,16.1,14.44285714
